Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Mauritius,MUS,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.05860273171603,2.15968241734634,2.18923628261503,2.27589276148248,2.28082977683101,2.42563834516313,2.69231018577046,2.75428958640885,2.80350544681747,2.75622901183154,2.93961932181702,2.9195850540241,2.98093292204204,3.06387900172131,3.16403004104002,3.16000186874594,3.21654571682465,3.32606786218848,3.29636205462015,3.32168232640987,2.95810314893832,3.14916917653636,3.20778314533676,3.46174699494733,3.53634151803811,..
Mauritius,MUS,"Population, total",SP.POP.TOTL,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258927,1261208,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523,1248647,1245779,..
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,7524.0271380091,7952.76479510706,7983.03398381759,7434.0746485155,7849.66759649565,8671.75891885163,9512.63575346699,10134.3327138119,10523.7685403244,8423.56933214711,9728.80078377082,10664.4944032313,10744.1335242686,11216.8008505428,11391.3773497683,10021.2386118827,9097.92397674769,9649.27816772402,10084.7937562021,10369.5553585271,8841.27075039868,10314.0506722115,11405.7940473759,13860.9597809326,14185.7812248529,..
Mexico,MEX,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.02272121123337,3.94395058441036,3.94830756150866,4.08541432161845,4.12339368005276,4.22758379844974,4.32571227914951,4.32899168517287,4.27910076303278,4.12122098054155,4.19755809286418,4.22179978144365,4.33350424276325,4.17443117084187,4.01481960973153,4.05069677949307,4.06104469144067,4.05743329599921,3.83831705872518,3.92542377851696,3.46247141559905,3.54662489893704,3.52183828963573,3.66576524934041,3.63738680384754,..
Mexico,MEX,"Population, total",SP.POP.TOTL,98625552,100099099,101548624,102978515,104394131,105811504,107253666,108774360,110374288,111999721,113623895,115243504,116818208,118343573,119784261,121072306,122251351,123400057,124573711,125762982,126799054,127648148,128613117,129739759,130861007,..
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,2049.3453246655,2103.74859460914,2113.45987332485,2145.87755337517,2104.42804750084,2207.16844533875,2244.97227274486,2293.51341684075,2369.50811741318,2544.11114550961,2702.61165204772,2848.70077003105,2992.28916099077,2893.13437410825,2896.73082002714,2853.07643587028,2979.60119184048,3279.10779039285,3566.58690371125,3572.65918282222,3362.02802120524,3508.22314197664,3710.12451611752,3919.64307910859,4166.00476748564,..
"Micronesia, Fed. Sts.",FSM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.00178501303059512,0.0017799136741868,0.00177859988616961,0.00178118181413368,0.00178691087781997,0.00179513876422647,0.00180621156156021,0.0018201674554059,0.00183594036865683,0.0018525894569134,0.00185977310768086,0.00185704469906591,0.00185373992028918,0.0018497794138049,0.00184508653455847,0.0018396556164686,0.00183360073344029,0.00182680099743334,0.00181968719577105,0.0018135325801128,0.00180316636012839,0.00179172937719487,0.00178389853185151,0.00177572582793217,0.00176740897843761,..
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,112044,112365,112448,112285,111925,111412,110729,109880,108936,107957,107540,107698,107890,108121,108396,108716,109075,109481,109909,110282,110916,111624,112114,112630,113160,..
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,440.538683980372,507.404076252819,570.799866188293,682.319095965299,897.178494749468,1034.39197746993,1183.02481442894,1531.21618590748,2110.55305353857,1898.43975710988,2436.79935102421,2941.36224066021,3044.8084324815,3321.04397795719,3289.95758568777,2749.55137054338,2847.08794770479,3453.26727720294,4156.44981956646,4405.33418162155,4375.7788930524,5274.60582195352,5744.29618434435,6799.58594644576,7576.19589413326,..
Moldova,MDA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.3577376987747,2.46105817585547,2.51059203781018,2.7110792994484,2.72501288836449,2.88374636766892,2.81572124915002,2.79219385317951,2.76331874319628,2.7251028108556,2.97129565385693,2.98346662826114,2.92022861745732,2.62071970563283,2.81365308811102,2.92639787755758,3.00493795274377,3.01460262798668,3.27363703423792,3.41941968843461,3.35786090249817,3.71857097344219,3.27771217414482,3.33935095165033,3.41675873098598,..
